time , r , theta , vr , vtheta , ar  , atheta
0,2,-0.01185295,0,-0.1185295,0,0.047685467
0.1,2,-0.023235362,0,-0.113824114,0,0.04720829
0.2,2,-0.034149792,0,-0.109144285,0,0.04673775
0.3,2,-0.04460173,0,-0.10451939,0,0.04626977
0.4,2,-0.054594234,0,-0.09992502,0,0.04580728
0.5,2,-0.0641327,0,-0.09538461,0,0.04534784
0.6,2,-0.07322187,0,-0.09089174,0,0.0448938
0.70000005,2,-0.081866786,0,-0.08644919,0,0.044444513
0.8000001,2,-0.09007219,0,-0.08205408,0,0.044000257
0.9000001,2,-0.09784177,0,-0.07769579,0,0.043560747
1.0000001,2,-0.10517932,0,-0.0733755,0,0.043124918
1.1000001,2,-0.112090744,0,-0.06911424,0,0.04269289
1.2000002,2,-0.11857911,0,-0.0648837,0,0.042266764
1.3000002,2,-0.12464743,0,-0.060683213,0,0.04184371
1.4000002,2,-0.13030319,0,-0.056557644,0,0.04142366
1.5000002,2,-0.13554895,0,-0.052457668,0,0.041011106
1.6000003,2,-0.14038874,0,-0.048397973,0,0.040601104
1.7000003,2,-0.14482634,0,-0.044375993,0,0.040195137
1.8000003,2,-0.14886609,0,-0.040397488,0,0.039792936
1.9000003,2,-0.15251085,0,-0.03644767,0,0.03939509
2.0000002,2,-0.1557671,0,-0.03256249,0,0.039000105
2.1000001,2,-0.15863602,0,-0.028689202,0,0.038611587
2.2,2,-0.16112223,0,-0.024862176,0,0.03822426
2.3,2,-0.16323048,0,-0.021082446,0,0.037841555
2.3999999,2,-0.16496487,0,-0.017343836,0,0.037463583
2.4999998,2,-0.16632912,0,-0.013642498,0,0.037089724
2.5999997,2,-0.16732728,0,-0.009981726,0,0.036719587
2.6999996,2,-0.16796085,0,-0.006335645,0,0.03635351
2.7999995,2,-0.16823392,0,-0.002730613,0,0.035988905
2.8999994,2,-0.16815108,0,8.28E-04,0,0.0356284
2.9999993,2,-0.16771483,0,0.004362459,0,0.035272505
3.0999992,2,-0.16692963,0,0.007852002,0,0.034919094
3.199999,2,-0.1658,0,0.011296261,0,0.03457014
3.299999,2,-0.16433005,0,0.01469953,0,0.034225713
3.399999,2,-0.16252154,0,0.018085085,0,0.033885386
